API endpointi,,,,,,,,,,,,,,,,,,,,,,,,,
Predlog API ruta za prva 3 zaključena modula.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID API,Metoda,Ruta,Opis,Modul,Status,Povezana funkcija,Testirano,Napomena,,,,,,,,,,,,,,,,,
API-001,POST,/auth/login,Prijava korisnika.,Korisnici i prava,Implementirano,F-001,Djelimicno,Login server action postoji.,,,,,,,,,,,,,,,,,
API-002,GET,/api/agencies,Lista agencija za super admina.,Korisnici i prava,Zaključeno,F-001,Ne,,,,,,,,,,,,,,,,,,
API-003,POST,/api/agencies,Kreiranje agencije.,Korisnici i prava,Zaključeno,F-001,Ne,,,,,,,,,,,,,,,,,,
API-004,POST,/api/agencies/:id/activate,Aktivacija agencije.,Korisnici i prava,Zaključeno,F-004,Ne,,,,,,,,,,,,,,,,,,
API-005,POST,/api/agencies/:id/deactivate,Deaktivacija agencije.,Korisnici i prava,Zaključeno,F-004,Ne,,,,,,,,,,,,,,,,,,
API-006,GET,/api/agencies/:id/subscription,Pregled pretplate agencije.,Korisnici i prava,Zaključeno,F-003,Ne,,,,,,,,,,,,,,,,,,
API-007,PUT,/api/agencies/:id/subscription,Ažuriranje pretplate agencije.,Korisnici i prava,Zaključeno,F-003,Ne,,,,,,,,,,,,,,,,,,
API-008,POST,/api/agency-users,Kreiranje radnika/klijenta agencije.,Korisnici i prava,Implementirano,"F-005,F-006",Djelimicno,Kreiranje radnika/klijenata postoji kao server action.,,,,,,,,,,,,,,,,,
API-009,PUT,/api/users/:id/permissions,Ažuriranje prava korisnika.,Korisnici i prava,Implementirano djelimicno,F-008,Djelimicno,Matrica prava se cuva; enforcement treba dodatno zakljucati.,,,,,,,,,,,,,,,,,
API-010,GET,/api/reports/staff-activity,Statistika rada radnika.,Korisnici i prava,Zaključeno,F-009,Ne,,,,,,,,,,,,,,,,,,
API-011,GET,/api/audit-logs,Pregled audit loga.,Korisnici i prava,Zaključeno,F-010,Ne,,,,,,,,,,,,,,,,,,
API-012,GET,/api/companies,Lista firmi.,Firme i kontni plan,Implementirano,F-012,Djelimicno,Lista firmi postoji kao server-rendered stranica.,,,,,,,,,,,,,,,,,
API-013,POST,/api/companies,Kreiranje firme.,Firme i kontni plan,Implementirano,F-012,Djelimicno,Kreiranje firme postoji kao server action.,,,,,,,,,,,,,,,,,
API-014,GET,/api/companies/:id,Profil firme.,Firme i kontni plan,Implementirano,F-012,Djelimicno,Detalj firme postoji kao /agencija/firme/[id].,,,,,,,,,,,,,,,,,
API-015,PUT,/api/companies/:id,Izmjena firme.,Firme i kontni plan,Implementirano,F-012,Djelimicno,Izmjena firme postoji kao server action.,,,,,,,,,,,,,,,,,
API-016,POST,/api/companies/:id/deactivate,Deaktivacija firme.,Firme i kontni plan,Zaključeno,F-012,Ne,,,,,,,,,,,,,,,,,,
API-017,GET,/api/irms/companies/search?pib=,Pretraga IRMS po PIB-u.,Firme i kontni plan,Implementirano,F-013,Djelimicno,IRMS endpoint postoji kao /api/irms/search.,,,,,,,,,,,,,,,,,
API-018,GET,/api/companies/:id/business-years,Poslovne godine firme.,Firme i kontni plan,Implementirano,F-014,Djelimicno,Poslovne godine se citaju na detalju i centralnoj stranici.,,,,,,,,,,,,,,,,,
API-019,POST,/api/companies/:id/business-years,Otvaranje poslovne godine.,Firme i kontni plan,Implementirano,F-014,Djelimicno,Otvaranje poslovne godine postoji kao server action.,,,,,,,,,,,,,,,,,
API-020,POST,/api/business-years/:id/lock,Zaključavanje godine.,Firme i kontni plan,Implementirano,F-015,Djelimicno,Zakljucavanje godine postoji kao server action.,,,,,,,,,,,,,,,,,
API-021,POST,/api/business-years/:id/unlock,Otključavanje godine.,Firme i kontni plan,Implementirano,F-015,Djelimicno,Otkljucavanje godine postoji kao server action.,,,,,,,,,,,,,,,,,
API-022,GET,/api/companies/:id/settings,Podešavanja firme.,Firme i kontni plan,Implementirano djelimicno,F-016,Djelimicno,Osnovna podesavanja/PDV status postoje u firmi.,,,,,,,,,,,,,,,,,
API-023,PUT,/api/companies/:id/settings,Izmjena podešavanja firme.,Firme i kontni plan,Implementirano djelimicno,F-016,Djelimicno,Izmjena osnovnih podesavanja firme postoji; posebna settings ruta nije uvedena.,,,,,,,,,,,,,,,,,
API-024,GET,/api/companies/:id/bank-accounts,Bankovni računi firme.,Firme i kontni plan,Zaključeno,F-017,Ne,,,,,,,,,,,,,,,,,,
API-025,POST,/api/companies/:id/bank-accounts,Dodavanje bankovnog računa.,Firme i kontni plan,Zaključeno,F-017,Ne,,,,,,,,,,,,,,,,,,
API-026,GET,/api/companies/:id/staff-assignments,Radnici na firmi.,Firme i kontni plan,Implementirano,F-019,Djelimicno,Pregled radnika na firmi postoji.,,,,,,,,,,,,,,,,,
API-027,POST,/api/companies/:id/staff-assignments,Dodjela radnika firmi.,Firme i kontni plan,Implementirano,F-019,Djelimicno,Dodjela radnika firmi postoji kao server action.,,,,,,,,,,,,,,,,,
API-028,GET,/api/companies/:id/account-chart,Kontni plan firme.,Firme i kontni plan,Zaključeno,"F-021,F-022",Ne,,,,,,,,,,,,,,,,,,
API-029,POST,/api/companies/:id/account-overrides,Dodavanje specifičnog konta/izmjene.,Firme i kontni plan,Zaključeno,F-022,Ne,,,,,,,,,,,,,,,,,,
API-030,GET,/api/companies/:id/default-accounts,Default konta firme.,Firme i kontni plan,Zaključeno,F-023,Ne,,,,,,,,,,,,,,,,,,
API-031,PUT,/api/companies/:id/default-accounts,Ažuriranje default konta.,Firme i kontni plan,Zaključeno,F-023,Ne,,,,,,,,,,,,,,,,,,
