Baza podataka,,,,,,,,,,,,,,,,,,,,,,,,,
Plan tabela i ključnih polja za prva 3 zaključena modula.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID tabele,Naziv tabele,Opis,Ključna polja,Povezan modul,Status,Napomena,,,,,,,,,,,,,,,,,,,
DB-001,users,Korisnici sistema.,"id, agency_id, name, email, password_hash, role, is_active",Korisnici i prava,Implementirano,Tabela korisnici implementirana kao korisnici.,,,,,,,,,,,,,,,,,,,
DB-002,agencies,Knjigovodstvene agencije koje koriste program.,"id, name, pib, status, subscription_status",Korisnici i prava,Implementirano,Tabela agencije implementirana kao agencije.,,,,,,,,,,,,,,,,,,,
DB-003,agency_subscriptions,Pretplate agencija.,"agency_id, package, start_date, end_date, status, limits",Korisnici i prava,Implementirano djelimicno,Tabela agencija_pretplate postoji; UI/poslovni tok nije gotov.,,,,,,,,,,,,,,,,,,,
DB-004,permissions,Prava po modulima i akcijama.,"id, code, module, action",Korisnici i prava,Implementirano djelimicno,Prava su implementirana kao korisnik_prava po modulu/akciji.,,,,,,,,,,,,,,,,,,,
DB-005,user_permissions,Dodijeljena prava korisniku.,"user_id, permission_id, company_id, can_view, can_create, can_update, can_delete",Korisnici i prava,Implementirano,Dodijeljena prava postoje kroz korisnik_prava.,,,,,,,,,,,,,,,,,,,
DB-006,audit_logs,Evidencija aktivnosti.,"user_id, agency_id, company_id, module, action, old_values, new_values, ip",Svi moduli,Implementirano,Audit log postoji kao audit_log + aktivnosti.,,,,,,,,,,,,,,,,,,,
DB-007,companies,Firme/klijenti agencije.,"agency_id, name, subject_type, pib, vat_number, status",Firme i kontni plan,Implementirano,"Firme implementirane kao firme, uz agency+pib unique.",,,,,,,,,,,,,,,,,,,
DB-008,company_responsible_persons,Odgovorna/kontakt lica firme.,"company_id, full_name, personal_id, role, email, phone",Firme i kontni plan,Nije poceto,Odgovorna/kontakt lica firme jos nisu posebna tabela.,,,,,,,,,,,,,,,,,,,
DB-009,company_bank_accounts,Bankovni računi firme.,"company_id, bank_name, account_number, currency, is_primary",Firme i kontni plan,Nije poceto,Bankovni racuni firme jos nisu implementirani.,,,,,,,,,,,,,,,,,,,
DB-010,business_years,Poslovne godine firme.,"company_id, year, status, opening_balance_entered, locked_at, locked_by",Firme i kontni plan,Implementirano,Poslovne godine postoje kao poslovne_godine.,,,,,,,,,,,,,,,,,,,
DB-011,company_settings,Podešavanja firme/godine.,"company_id, business_year_id, is_vat_payer, uses_payroll, uses_inventory, uses_auto_posting",Firme i kontni plan,Implementirano djelimicno,Osnovni PDV status je na firmi; posebna company_settings tabela nije uvedena.,,,,,,,,,,,,,,,,,,,
DB-012,company_staff_assignments,Radnici agencije dodijeljeni firmi.,"company_id, user_id, role_on_company, is_primary, rights",Firme i kontni plan,Implementirano,Dodjele radnika firmi postoje kroz korisnik_firma.,,,,,,,,,,,,,,,,,,,
DB-013,company_client_users,Klijentski korisnici firme.,"company_id, user_id, can_view_reports, can_upload_documents",Firme i kontni plan,Implementirano,Klijentski korisnici firmi postoje kroz korisnik_firma.,,,,,,,,,,,,,,,,,,,
DB-014,company_contracts,Ugovor/cijena knjigovodstva.,"company_id, monthly_fee, currency, payment_due_day, auto_invoice_enabled",Firme i kontni plan,Nije poceto,Ugovor/cijena nisu implementirani.,,,,,,,,,,,,,,,,,,,
DB-015,account_plan_versions,Verzije osnovnog kontnog plana.,"code, country, valid_from_year, status",Firme i kontni plan,Nije poceto,Verzije kontnog plana nisu implementirane.,,,,,,,,,,,,,,,,,,,
DB-016,account_plan_base,Osnovni kontni plan.,"version_id, account_number, account_name, account_type, normal_balance",Firme i kontni plan,Implementirano,"Osnovni konto model postoji kao konta; puni glavni kontni plan se seeduje migracijom, 1514 aktivnih konta, normalni_saldo po klasama.",,,,,,,,,,,,,,,,,,,
DB-017,company_account_overrides,Specifična konta/izmjene po firmi.,"company_id, base_account_id, account_number, account_name, override_type",Firme i kontni plan,Implementirano,"Specificna konta po firmi postoje kao firma_konta: custom, rename, deactivate i restore osnovnog konta.",,,,,,,,,,,,,,,,,,,
DB-018,company_default_accounts,Podrazumijevana konta firme.,"company_id, business_year_id, setting_key, account_number",Firme i kontni plan,Implementirano,Default konta firme implementirana kao firma_podrazumijevana_konta.,,,,,,,,,,,,,,,,,,,
