Računovodstveni program — Master planer,,,,,,,,,,,,,,,,,,,,,,,,,
"Ažurirano 2026-06-25: Core modula 1-3 je upotrebljiv, KIF/KUF modul je implementiran za unos, import, automatsko knjiženje i štampu; ostaju kontrole, export, PDV zaključavanje, početno stanje i testovi.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Oblast,Broj stavki,Zaključeno,Napomena,,Status modula,,,,,,,,,,,,,,,,,,,,
Moduli,,,Prva 3 modula su zaključena.,,"ID",Modul,Status,Faza,Napomena,,,,,,,,,,,,,,,,
Funkcionalnosti,,,Za praćenje implementacije.,,M-001,"Korisnici, agencije i prava",Core implementiran / dorada,MVP 1,"Autentifikacija, agencije, korisnici, radnici/klijenti, dodjela firmi, matrica prava i audit osnova postoje. Ostaju kompletan backend enforcement prava, pretplate/limiti i statistika radnika.",,,,,,,,,,,,,,,,
Pravila,,,Poslovna logika.,,M-002,"Firme, klijenti, poslovne godine i kontni plan",Core implementiran / dorada,MVP 1,"Firme, IRMS, poslovne godine, aktivni kontekst firma/godina, banke, ugovori, kontni plan globalni + override, partneri globalni/agencijski/firmski su implementirani. Ostaju fina podesavanja firme, odgovorna lica i default konta.",,,,,,,,,,,,,,,,
Baza,,,Predlog tabela.,,M-003,Nalozi za knjiženje,Core implementiran / dorada,MVP 1,"Ručni nalozi, nacrti, proknjižavanje, vraćanje, brisanje, partner analitika, kupci/dobavljaci zbirno, otvorene stavke iz ručnog naloga, datumi stavki, prečice F9/F10, bruto bilans, analitičke kartice i print su implementirani. Ostaju početno stanje i dodatne kontrole/testovi.",,,,,,,,,,,,,,,,
API,,,Predlog ruta.,,M-004,Robno knjigovodstvo,Specifikacija spremna / nije implementirano,MVP 1/2,"Specifikacija je pročitana i unesena u planer, ali modul nije krenuo u kodu osim navigacionih placeholdera.",,,,,,,,,,,,,,,,
Testovi,,,QA scenariji.,,M-005,Izvodi i automatsko knjiženje,Specifikacija spremna / nije implementirano,MVP 2,"Finalna specifikacija je u zadaci/07_Izvodi_i_Automatsko_Knjizenje_FINAL.md. Sljedeće: import sesije, PDF/HTML parser, preview, povezivanje sa komitentima/fakturama i generisanje naloga.",,,,,,,,,,,,,,,,
Odluke,,,Arhitektonske odluke.,,M-006,Plate i zaposleni,U planu,MVP 2,Nije implementirano.,,,,,,,,,,,,,,,,
,,,,,M-007,PDV,Djelimično kroz KIF/KUF,MVP 2,"PDV stope i osnovne KIF/KUF PDV razrade postoje. PDV prijava, kontrole i XML nisu implementirani.",,,,,,,,,,,,,,,,
,,,,,M-008,Završni račun,Djelimično implementirano,MVP 3,"Bilans uspjeha, Bilans stanja i Statistički aneks su implementirani iz POSTED naloga sa sistemskim šemama, podešavanjima po firmi, trajnim ručnim korekcijama po AOP/koloni, print obrascima, predlogom zaključnog naloga za klase 5/6 i arhivom snimljenih obrazaca. Ostaje XML/export.",,,,,,,,,,,,,,,,
Sljedeći prioritet,"Završiti KIF/KUF kontrole i testove, pa odlučiti PDV ili Robno",,,,M-009,Izvještaji i dashboard,Djelimično implementirano,MVP 1/2,Bruto bilans i analitičke kartice postoje. Dashboard i ostali izvještaji su uglavnom placeholderi.,,,,,,,,,,,,,,,,
Obuhvat,"Dokumenti, kalkulacije, ulazne/izlazne fakture, roba, zalihe, lager, maloprodaja/veleprodaja, automatska knjiženja.",,,,M-010,Računi / KIF-KUF,Core implementiran / dorada,MVP 1,"KIF/KUF knjige po mjesecu i vrsti, PDV razrada, MAPR/SEP import, šeme kontiranja, automatsko knjiženje, statusi, edit/delete neproknjiženih računa i print su implementirani. Ostaju kontrole, export, PDV zaključavanje i QA.",,,,,,,,,,,,,,,,
