Funkcionalnosti,,,,,,,,,,,,,,,,,,,,,,,,,
Konkretne funkcionalnosti za prva 3 zaključena modula. Kolone Frontend/Backend/Baza/Testirano ostaju za praćenje implementacije.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"ID",Modul,Funkcionalnost,Opis,Prioritet,Status,Frontend,Backend,Baza,Testirano,Zavisi od,Napomena,,,,,,,,,,,,,,
F-001,"Korisnici, agencije i prava",Kreiranje agencije,Super admin kreira agenciju koja koristi program.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,M-001,Admin agencije/agencijski korisnici postoje; pretplata nije kompletno zaokruzena.,,,,,,,,,,,,,,
F-002,"Korisnici, agencije i prava",Kreiranje admina agencije,Super admin kreira admina agencije i povezuje ga sa agencijom.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-001,Super/admin tok i kreiranje admina agencije postoje u admin dijelu.,,,,,,,,,,,,,,
F-003,"Korisnici, agencije i prava",Pretplate agencija,"Super admin prati do kada važi pretplata, paket, status, aktivaciju i deaktivaciju.",Vrlo visok,U izradi,Ne,Djelimicno,Da,Ne,F-001,"Tabela pretplata postoji, ali UI/akcije pretplate nisu zaokruzene.",,,,,,,,,,,,,,
F-004,"Korisnici, agencije i prava",Aktivacija/deaktivacija agencije,Super admin može aktivirati ili deaktivirati agenciju bez brisanja podataka.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-001,Aktivacija/deaktivacija postoji za agencije/korisnike.,,,,,,,,,,,,,,
F-005,"Korisnici, agencije i prava",Radnici agencije,Admin agencije kreira radnike svoje agencije.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-002,Admin agencije kreira radnike preko korisnika i pozivnica.,,,,,,,,,,,,,,
F-006,"Korisnici, agencije i prava",Klijentski korisnici,Admin agencije kreira korisnike klijenata koji vide samo svoju firmu.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-002,Admin agencije kreira klijente i dodjeljuje firme.,,,,,,,,,,,,,,
F-007,"Korisnici, agencije i prava",Dodjela firmi radnicima,Admin agencije dodjeljuje radnicima sve ili samo određene firme.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,"F-005,F-014",Dodjela firmi radnicima postoji kroz korisnike i stranicu Radnici na firmama.,,,,,,,,,,,,,,
F-008,"Korisnici, agencije i prava",Prava po modulima i akcijama,"Admin agencije određuje pristup modulima: plate, kalkulacije, izvodi, računi, završni itd.",Vrlo visok,Implementirano djelimicno,Da,Da,Da,Djelimicno,F-005,Matrica prava postoji; backend enforcement po modulima treba dodatno zakljucati.,,,,,,,,,,,,,,
F-009,"Korisnici, agencije i prava",Statistika rada radnika,"Admin agencije vidi dnevni, nedjeljni i mjesečni učinak radnika.",Visok,U izradi,Djelimicno,Djelimicno,Da,Ne,"F-005,F-034",Postoji osnova aktivnosti/audit; statistika ucinka nije poseban kompletan ekran.,,,,,,,,,,,,,,
F-010,"Korisnici, agencije i prava",Audit log,"Sistem pamti ko je kreirao, izmijenio, obrisao ili proknjižio svaku bitnu stavku.",Vrlo visok,Implementirano djelimicno,Djelimicno,Da,Da,Djelimicno,Svi moduli,Audit upis postoji za glavne akcije; pregled audit loga jos nije poseban ekran.,,,,,,,,,,,,,,
F-011,"Korisnici, agencije i prava",Soft delete,"Brisanje ne briše fizički podatak, već ga označava kao obrisan.",Vrlo visok,Implementirano djelimicno,Nije primjenjivo,Da,Da,Djelimicno,Svi moduli,Soft delete polja i uklanjanje dodjela postoje; treba sistematski prosiriti na sve module.,,,,,,,,,,,,,,
F-012,Firme i kontni plan,Dodavanje firme,Admin agencije dodaje firmu/klijenta u sistem.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,M-002,"Lista firmi, dodavanje firme i detalj firme postoje.",,,,,,,,,,,,,,
F-013,Firme i kontni plan,IRMS pretraga po PIB-u,Unos PIB-a povlači dostupne podatke iz IRMS-a.,Visok,Implementirano,Da,Da,Nije potrebno,Djelimicno,F-012,IRMS pretraga po PIB-u popunjava formu za dodavanje firme.,,,,,,,,,,,,,,
F-014,Firme i kontni plan,Poslovne godine,Firma ima posebne poslovne godine; sve se vodi po godini.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-012,Automatsko otvaranje godine pri kreiranju firme i centralni pregled postoje.,,,,,,,,,,,,,,
F-015,Firme i kontni plan,Zaključavanje poslovne godine,Admin može zaključati/otključati poslovnu godinu.,Vrlo visok,Implementirano djelimicno,Da,Da,Da,Djelimicno,F-014,Zakljucavanje/otkljucavanje godine postoji; osnovna blokada kreiranja/proknjizavanja/brisanja naloga za zakljucanu godinu implementirana u Modulu 3.,,,,,,,,,,,,,,
F-016,Firme i kontni plan,PDV podešavanja firme,Čekiranje da li je firma u PDV sistemu i datumi ulaska/izlaska.,Vrlo visok,Implementirano djelimicno,Da,Da,Da,Djelimicno,F-012,Osnovni PDV status postoji; datumi ulaska/izlaska jos nisu dodati.,,,,,,,,,,,,,,
F-017,Firme i kontni plan,Bankovni računi firme,Firma može imati više računa u različitim valutama.,Visok,Implementirano,Da,Da,Da,Djelimicno,F-012,"Bankovni racuni firmi implementirani: tabela, unos, pregled, glavni racun i aktivacija/deaktivacija.",,,,,,,,,,,,,,
F-018,Firme i kontni plan,Klijentski korisnici firme,"Jedna firma može imati više svojih korisnika: direktor, radnik, menadžer.",Visok,Implementirano,Da,Da,Da,Djelimicno,"F-006,F-012",Stranica Klijentski korisnici i dodjela klijenata firmama postoje.,,,,,,,,,,,,,,
F-019,Firme i kontni plan,Radnici agencije na firmi,Jednu firmu može raditi više radnika agencije.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,"F-007,F-012",Stranica Radnici na firmama i glavni radnik postoje.,,,,,,,,,,,,,,
F-020,Firme i kontni plan,Ugovor i cijena knjigovodstva,"Za firmu se vode mjesečna cijena, rok plaćanja, paket, dug i auto-fakturisanje.",Srednji,Implementirano,Da,Da,Da,Djelimicno,F-012,"Ugovor/cijena implementirani: mjesecna cijena, rok placanja, dan fakturisanja, paket, dug, auto-fakturisanje i placeholder priprema za stampu ugovora.",,,,,,,,,,,,,,
F-021,Firme i kontni plan,Osnovni kontni plan,Sistem ima osnovni kontni plan CG kao globalni šablon.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,M-002,"Globalni osnovni kontni plan implementiran i migration-seedovan iz kontni_plan_GK_KontP.csv: 1514 aktivnih konta. normalni_saldo je podrazumijevani saldo (0/1/2/5 D, 3/4/6 P), nije zabrana knjizenja. Dostupan na /agencija/podesavanja/kontni-plan.",,,,,,,,,,,,,,
F-022,Firme i kontni plan,Specifična konta po firmi,"Po firmi se čuvaju samo nova, izmijenjena ili deaktivirana konta.",Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-021,"Specificna konta po firmi implementirana kroz firma_konta: custom, rename, deactivate i restore osnovnog konta.",,,,,,,,,,,,,,
F-023,Firme i kontni plan,Podrazumijevana konta,"Firma podešava default konta za kupce, dobavljače, PDV, banku, blagajnu itd.",Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,"F-021,F-022","Podrazumijevana konta firme implementirana za kupce, dobavljace, PDV, banku, blagajnu, prihod, trosak, robu i plate.",,,,,,,,,,,,,,
F-024,Nalozi za knjiženje,Vrste naloga,Sistemske i firmi specifične vrste naloga.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,"F-014,F-021",Sistemske vrste naloga seedovane migracijom; ekran /agencija/nalozi/vrste prikazuje vrste i admin moze dodati agencijsku ili firmi specificnu vrstu.,,,,,,,,,,,,,,
F-025,Nalozi za knjiženje,Numeracija naloga,Svaka vrsta naloga ima svoju numeraciju od 1 po poslovnoj godini.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-024,"Automatska numeracija po firma+godina+vrsta implementirana; format koristi prefiks-godina-redni broj, npr. RN-2026-0001.",,,,,,,,,,,,,,
F-026,Nalozi za knjiženje,Zaglavlje naloga,"Firma, godina, vrsta, broj, datumi, poslovna jedinica, opis, status, izvor.",Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,"F-024,F-025","Zaglavlje naloga implementirano za aktivnu firmu/godinu: vrsta, broj, datum, opis, status i izvor MANUAL.",,,,,,,,,,,,,,
F-027,Nalozi za knjiženje,Stavke naloga,"Tabelarni unos: konto, partner ako je analitika, datum/opis, duguje, potražuje; konto se filtrira kucanjem šifre, Enter ide na sljedeće polje.",Vrlo visok,Implementirano,Da,"Tabelarni unos podrzava filter konta, Enter navigaciju, auto redove, obaveznu analitiku, pretragu partnera i izbor otvorenih stavki na dupli klik broja dokumenta.",Da,Djelimicno,"F-026,F-021","Tabelarni unos stavki implementiran za konto, partner, opis, duguje/potrazuje, izmjenu nacrta i ručno zatvaranje faktura preko otvorenih stavki iz POSTED naloga.",,,,,,,,,,,,,,
F-028,Nalozi za knjiženje,Nacrti naloga,Nalog može biti nacrt i tada ne ulazi u knjige.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,F-026,Nacrt naloga se snima i prikazuje u listi; nacrt ne mora biti izbalansiran.,,,,,,,,,,,,,,
F-029,Nalozi za knjiženje,Knjiženje naloga,Proknjižen nalog mora imati duguje = potražuje.,Vrlo visok,Implementirano,Da,Da,Da,Djelimicno,"F-027,F-028",Proknjizavanje provjerava balans; KIF/KUF automatsko knjizenje koristi seme i vezuje dokumente za nalog.,,,,,,,,,,,,,,
F-030,Nalozi za knjiženje,Vraćanje proknjiženog naloga u nacrt,Proknjižen nalog se ne mijenja direktno; prvo se vraća u nacrt uz pravo.,Visok,Implementirano djelimicno,Da,Da,Da,Djelimicno,"F-029,F-008",Proknjizeni nalog se moze vratiti u nacrt ako godina nije zakljucena; detaljna prava po akciji ostaju za doradu.,,,,,,,,,,,,,,
F-031,Nalozi za knjiženje,Soft delete naloga,Nalog se može obrisati samo soft delete logikom.,Visok,Implementirano djelimicno,Da,Da,Da,Djelimicno,"F-011,F-026",Soft delete naloga implementiran kroz status DELETED/is_deleted i audit log; arhiva obrisanih ostaje za kasnije.,,,,,,,,,,,,,,
F-032,Nalozi za knjiženje,Veza dokument — nalog,Jedan dokument u pravilu kreira jedan nalog; jedan nalog može vezati više dokumenata.,Vrlo visok,Implementirano djelimicno,Da,Da,Da,Djelimicno,F-026,KIF/KUF knjige kreiraju/dopunjavaju jedan nalog i povezuju račune sa nalogom. Ostali dokumenti tek slijede.,,,,,,,,,,,,,,
F-033,Nalozi za knjiženje,Automatski nalozi,Nalog nastao iz kalkulacije/fakture/izvoda/plata pamti izvorni modul i status usklađenosti.,Vrlo visok,Implementirano djelimicno,Da,Da,Da,Djelimicno,F-032,"Automatski nalozi postoje za KIF/KUF. Kalkulacije, izvodi i plate nisu još implementirani.",,,,,,,,,,,,,,
F-034,Nalozi za knjiženje,Početno stanje,Svaka firma/godina može imati samo jedan nalog početnog stanja.,Vrlo visok,U izradi,Djelimicno,Djelimicno,Da,Ne,"F-014,F-026","Bruto bilans ima odvojene kolone početnog stanja, ali unos/prenos početnog stanja nije kompletiran.",,,,,,,,,,,,,,
F-035,Nalozi za knjiženje,Automatski prenos početnog stanja,Na osnovu krajnjeg stanja prethodne godine kreira se nacrt početnog stanja nove godine.,Vrlo visok,Nije poceto,Ne,Ne,Djelimicno,Ne,F-034,Specifikacija postoji; implementacija Modula 3 jos nije krenula osim ranijih osnovnih tabela.,,,,,,,,,,,,,,
F-036,Nalozi za knjiženje,Partneri,Centralni/globalni partneri + dodatni partneri agencije/firme; globalne dodaje samo sistemski admin.,Vrlo visok,Implementirano,Da,"Centralni/globalni partneri + dodatni partneri agencije/firme; admin ima unos/izmjenu globalnih, agencija unos/izmjenu dodatnih, nalog koristi dostupne komitente. Dodata IRMS polja pravna forma, sifra djelatnosti i datum registracije; importovano 64.750 globalnih partnera iz stare MySQL/IRMS baze.",Da,Djelimicno,F-027,Specifikacija postoji; implementacija Modula 3 jos nije krenula osim ranijih osnovnih tabela.,,,,,,,,,,,,,,
F-037,Nalozi za knjiženje,Analitika po partnerima,Za analitička konta partner je obavezan; kartice i zbirni pregledi po partneru.,Vrlo visok,Implementirano djelimicno,Da,"Partner je obavezan za analiticka konta; implementirana analiticka kartica sa filterima konto/partner/period i zbirna stranica Kupci / dobavljaci sa otvorenim saldom po partneru.",Djelimicno,Ne,"F-036,F-027","Kartica partnera vodi na nalog; Kupci / dobavljaci vode na karticu partnera za klasu 2 ili 4.",,,,,,,,,,,,,,
F-038,Nalozi za knjiženje,Bruto bilans,"Bruto bilans iz proknjiženih naloga, sa odvojenim početnim stanjem.",Vrlo visok,Implementirano djelimicno,Da,Da,Da,Djelimicno,"F-029,F-034","Bruto bilans ima filtere, nivoe zbira, samo zbir, globalni zbir, klik na konto ka analitici i print varijantu.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
