Pravila poslovne logike,,,,,,,,,,,,,,,,,,,,,,,,,
Zaključena poslovna i tehnička pravila za prva 3 modula. Svako pravilo treba povezivati sa funkcionalnostima i testovima.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID pravila,Modul,Naziv pravila,Opis pravila,Prioritet,Status,Implementirano u,Testirano,Povezane funkcije,Napomena,,,,,,,,,,,,,,,,
R-001,"Korisnici, agencije i prava",Multi-agency izolacija,Jedna agencija ne smije vidjeti podatke druge agencije.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-001,Osnovno sigurnosno pravilo.,,,,,,,,,,,,,,,,
R-002,"Korisnici, agencije i prava",Super admin upravlja agencijama,"Super admin kreira agencije, admina agencije i prati pretplatu.",Vrlo visok,Zaključeno,Backend,Ne,"F-001,F-002,F-003",,,,,,,,,,,,,,,,,
R-003,"Korisnici, agencije i prava",Deaktivacija agencije ne briše podatke,"Deaktivirana agencija ne može koristiti sistem, ali podaci ostaju u bazi.",Vrlo visok,Zaključeno,Backend/Baza,Ne,F-004,,,,,,,,,,,,,,,,,
R-004,"Korisnici, agencije i prava",Admin agencije operativno radi,"Admin agencije ima sva prava, ali se i njegov rad evidentira kao rad korisnika.",Visok,Zaključeno,Backend,Ne,"F-002,F-010",,,,,,,,,,,,,,,,,
R-005,"Korisnici, agencije i prava",Radnik vidi samo dodijeljene firme,Radnik agencije nema pristup firmama koje mu nijesu dodijeljene.,Vrlo visok,Zaključeno,Backend,Ne,F-007,,,,,,,,,,,,,,,,,
R-006,"Korisnici, agencije i prava",Klijent vidi samo svoju firmu,Klijentski korisnik ne može vidjeti druge firme ni interne podatke agencije.,Vrlo visok,Zaključeno,Backend,Ne,"F-006,F-018",,,,,,,,,,,,,,,,,
R-007,"Korisnici, agencije i prava",Klijent je read-only,"Klijent ne može knjižiti ni mijenjati knjigovodstvene podatke, osim eventualnog upload-a dokumenata.",Vrlo visok,Zaključeno,Backend,Ne,F-006,,,,,,,,,,,,,,,,,
R-008,"Korisnici, agencije i prava",Prava po modulima i akcijama,Prava moraju podržati vidjeti/unositi/mijenjati/brisati po modulu i firmi.,Vrlo visok,Zaključeno,Backend/Baza,Ne,F-008,,,,,,,,,,,,,,,,,
R-009,"Korisnici, agencije i prava",Učinak radnika,"Sistem mora brojati aktivnosti radnika po danu, nedjelji, mjesecu, firmi, modulu i tipu dokumenta.",Visok,Zaključeno,Backend/Izvještaji,Ne,"F-009,F-010",,,,,,,,,,,,,,,,,
R-010,"Korisnici, agencije i prava",Audit log obavezan,"Svaka bitna akcija mora imati korisnika, datum, modul, firmu, akciju i po potrebi stare/nove vrijednosti.",Vrlo visok,Zaključeno,Backend/Baza,Ne,F-010,,,,,,,,,,,,,,,,,
R-011,"Korisnici, agencije i prava",Soft delete,"Brisanje važnih podataka mora biti soft delete, ne fizičko brisanje.",Vrlo visok,Zaključeno,Backend/Baza,Ne,F-011,,,,,,,,,,,,,,,,,
R-012,Firme i kontni plan,Podržane vrste subjekata,"Sistem podržava DOO, preduzetnike, NVO, paušalce, fizička lica i drugo.",Visok,Zaključeno,Baza/Backend,Ne,F-012,,,,,,,,,,,,,,,,,
